lat,lon,ACCESS1-0,ACCESS1-3,CanESM2,CNRM-CM5,CSIRO-Mk3-6-0,FGOALS-s2,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,HadGEM2-CC,HadGEM2-ES,IPSL-CM5A-MR,MIROC5,MIROC-ESM,MIROC-ESM-CHEM,MRI-CGCM3,MRI-ESM1
-54.18848037719727,292.5,2.6,3.1,3.9,3.4,4.5,2.5,2.0,2.2,1.0,4.4,3.9,3.7,0.8,3.4,3.2,1.7,2.9
-53.24607467651367,288.75,1.2,1.9,3.0,2.4,2.8,1.8,1.9,3.5,1.0,3.1,1.9,3.0,0.5,2.4,3.5,2.5,2.6
-53.24607467651367,290.0,1.2,1.5,3.6,2.4,2.8,2.1,2.3,3.1,1.2,2.2,1.6,3.2,0.6,2.2,3.0,2.2,2.7
-53.24607467651367,291.25,1.7,2.6,4.1,3.7,4.1,1.7,2.2,2.7,1.2,2.9,1.9,4.3,0.9,2.9,3.0,2.5,2.9
-52.30366516113281,291.25,2.2,2.7,4.0,3.5,3.4,2.2,2.1,2.8,1.5,2.4,1.8,5.0,0.8,2.4,4.2,2.5,3.3
-51.36125564575195,291.25,2.2,1.9,3.4,3.9,3.7,2.7,2.6,2.3,1.8,1.9,1.5,5.2,0.9,2.7,4.0,2.1,3.2
-46.64921569824219,168.75,4.9,1.2,2.9,2.9,3.6,8.6,2.5,0.9,3.3,3.3,2.8,10.0,2.7,2.2,3.2,1.4,3.0
-45.70680618286133,170.0,5.7,2.2,3.1,2.7,3.1,7.6,2.6,1.1,2.7,4.6,4.0,9.2,2.8,2.7,3.3,1.2,2.2
-45.70680618286133,171.25,6.6,2.6,2.7,2.4,3.3,8.2,3.1,0.7,2.5,4.3,3.4,9.4,2.6,2.8,3.9,1.5,3.2
-45.70680618286133,287.5,2.9,2.4,3.0,2.1,2.1,2.9,2.2,2.7,2.7,0.7,1.0,4.4,1.4,1.4,1.3,1.8,2.9
