lat,lon,002_max,003_max,004_max,005_max,006_max,007_max,008_max,009_max,010_max,011_max,012_max,013_max,014_max,015_max,016_max,017_max,018_max,019_max,020_max,021_max,022_max,023_max,024_max,025_max,026_max,027_max,028_max,029_max,030_max,031_max,032_max,033_max
-54.18848037719727,292.5,0.3,0.5,0.5,0.5,0.5,0.8,0.4,0.5,0.9,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.7,0.4,0.7,0.9,0.3,0.6,0.5,0.9,0.7,0.5,0.6,0.7,0.5,0.3,0.7,0.6
-53.24607467651367,288.75,0.5,0.7,0.6,0.5,0.3,0.3,0.3,0.5,0.4,0.3,0.7,0.4,0.5,0.6,0.6,0.5,0.4,0.7,0.6,0.6,0.6,0.7,0.6,0.9,0.5,0.4,0.2,0.6,0.7,0.5,0.8,0.2
-53.24607467651367,290.0,0.3,0.7,0.7,0.4,0.5,0.5,0.3,0.4,0.5,0.3,0.7,0.7,0.8,0.9,0.6,0.3,0.3,0.3,0.5,0.7,0.4,0.7,0.9,0.8,0.7,0.5,0.1,0.5,0.6,0.4,0.7,0.4
-53.24607467651367,291.25,0.4,0.6,0.6,0.5,0.6,0.6,0.6,0.3,1.0,0.5,0.5,0.8,0.7,0.6,0.7,0.5,0.4,0.6,0.4,0.7,0.5,0.7,0.6,1.0,0.7,0.4,0.7,0.7,0.5,0.3,0.8,0.4
-52.30366516113281,291.25,0.4,0.6,0.5,0.5,0.2,0.4,0.6,0.2,0.5,0.3,0.5,0.6,0.6,0.7,0.3,0.5,0.5,0.5,0.2,0.4,0.7,0.3,0.4,0.6,0.5,0.4,0.6,0.6,0.2,0.2,0.9,0.6
-51.36125564575195,291.25,0.6,0.3,0.4,0.7,0.5,0.2,0.4,0.4,0.4,0.2,0.4,0.5,0.6,0.6,0.3,0.5,0.6,0.2,0.3,0.5,0.4,0.4,0.7,0.6,0.3,0.4,0.4,0.3,0.3,0.1,0.7,0.3
-46.64921569824219,168.75,0.6,0.6,0.6,0.6,1.0,0.5,0.3,0.6,0.5,0.2,0.7,0.7,0.5,0.6,0.8,0.8,0.6,0.6,0.4,0.6,0.3,0.6,0.6,0.4,0.8,0.9,0.4,0.7,0.7,1.0,0.7,0.5
-45.70680618286133,170.0,0.5,0.5,0.8,0.6,0.9,0.8,0.5,0.4,0.5,0.6,0.6,0.7,0.5,0.8,0.6,0.7,0.6,0.6,0.8,0.8,0.5,0.6,0.5,0.8,0.6,1.1,0.7,0.5,0.6,0.8,0.9,0.7
-45.70680618286133,171.25,0.5,0.3,0.4,0.5,0.4,0.4,0.6,0.6,0.7,0.5,0.8,0.4,0.3,0.5,0.5,0.6,0.4,0.2,0.8,0.6,0.6,0.6,0.6,0.5,0.7,0.5,0.8,0.3,0.9,1.0,0.5,0.5
-45.70680618286133,287.5,0.9,1.0,0.7,0.7,0.7,0.9,0.8,0.7,0.9,0.5,1.0,0.9,0.3,1.1,0.7,0.7,0.7,0.6,0.7,0.9,0.5,0.5,0.6,0.5,0.6,0.5,0.7,0.6,1.2,0.9,1.0,0.8
-45.70680618286133,292.5,0.5,0.3,0.5,0.5,0.7,0.6,0.7,0.5,0.5,0.4,0.5,0.8,0.2,0.7,0.7,0.4,0.6,0.6,0.9,0.3,0.4,0.6,0.5,0.3,0.6,0.7,0.7,0.8,0.4,0.4,0.5,0.3
-43.82199096679688,172.5,0.5,0.8,0.8,0.8,0.9,0.3,0.7,0.7,0.4,0.4,0.7,0.5,0.6,0.6,0.7,0.7,0.5,0.6,0.3,0.6,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.3,0.7,0.6,0.7,0.5
-43.82199096679688,295.0,0.4,0.4,0.1,0.3,0.1,0.5,0.3,0.3,0.2,0.3,0.6,0.6,0.4,0.6,,0.1,0.2,0.4,0.3,0.3,0.5,0.3,0.8,0.2,0.5,0.6,0.3,0.4,0.3,0.3,0.2,0.3
-42.879581451416016,147.5,0.5,0.4,0.2,0.3,0.1,0.4,0.2,0.2,0.6,0.4,0.4,0.5,0.1,0.3,0.3,0.3,0.4,0.2,0.3,,0.6,0.2,0.3,0.3,0.2,0.3,0.4,0.2,0.1,0.1,0.4,0.2
-42.879581451416016,172.5,1.0,0.6,0.9,0.8,0.6,0.7,0.6,0.6,0.4,0.7,0.3,0.8,0.5,0.8,0.6,0.6,0.4,0.8,0.7,0.4,0.6,0.8,0.3,0.7,0.7,0.9,0.5,0.8,0.7,0.9,0.5,0.6
-42.879581451416016,288.75,0.7,0.6,0.4,0.8,0.6,0.9,0.6,0.7,0.5,0.4,0.7,0.6,0.6,0.4,0.9,0.5,0.4,0.6,0.7,0.6,0.8,0.7,0.5,0.5,0.9,1.0,0.6,0.8,1.0,0.9,0.6,0.7
-42.879581451416016,295.0,0.5,0.5,0.3,0.3,0.3,0.6,0.2,0.5,0.5,0.5,0.9,0.7,0.4,0.4,0.1,0.3,0.4,0.3,0.5,0.3,0.3,0.5,0.6,0.5,0.6,0.5,0.3,0.5,0.1,0.3,0.4,0.4
-41.937171936035156,175.0,0.8,0.7,0.9,0.8,1.0,0.6,0.7,0.3,0.7,0.7,0.7,0.6,0.7,0.5,0.7,0.7,0.9,0.6,0.4,0.6,0.7,0.4,0.9,0.6,0.6,0.8,0.8,0.4,0.5,0.7,0.9,0.8
-41.937171936035156,286.25,0.8,1.0,0.9,0.8,0.8,0.5,0.7,0.7,1.0,0.8,0.6,0.5,0.7,0.4,0.6,0.6,0.7,0.4,0.6,0.6,0.5,0.3,0.5,0.7,0.5,0.4,1.0,0.8,0.8,0.7,0.7,0.5
-40.99476623535156,146.25,0.7,0.6,0.7,0.4,0.6,0.3,0.7,0.5,0.3,0.5,0.3,0.3,0.4,0.4,0.7,0.5,0.8,0.4,0.3,0.2,0.6,0.3,0.6,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.4
-40.99476623535156,147.5,0.6,0.5,0.5,0.4,0.8,0.3,0.5,0.5,0.5,0.4,0.3,0.4,0.4,0.5,0.4,0.2,0.5,0.4,0.6,0.3,0.6,0.1,0.5,0.6,0.4,0.5,0.2,0.4,0.2,0.3,0.2,0.3
-40.99476623535156,173.75,0.7,0.6,0.9,0.8,0.7,1.0,0.7,0.7,0.6,0.8,0.9,0.8,1.1,1.0,0.7,0.7,0.8,0.9,0.8,0.9,0.6,0.6,0.8,0.8,0.8,0.9,1.0,0.7,1.1,0.7,0.9,0.6
-40.99476623535156,175.0,0.9,0.7,0.9,1.1,0.8,0.9,0.8,0.8,0.6,0.6,0.6,0.7,0.9,0.7,0.8,0.8,0.6,0.6,0.9,0.7,0.8,0.6,0.7,0.6,0.9,0.6,0.6,0.8,0.5,0.7,0.7,0.5
-40.99476623535156,286.25,0.4,0.6,0.7,0.5,0.5,0.4,0.4,0.9,0.6,0.4,0.5,0.5,0.6,0.7,0.4,0.3,0.6,0.6,0.5,0.4,0.5,0.2,0.7,0.6,0.6,0.6,0.1,0.6,0.9,0.5,0.4,0.4
-40.99476623535156,287.5,0.6,0.5,0.4,0.3,0.5,0.9,0.7,0.6,0.4,0.5,0.6,0.7,0.5,0.7,0.5,0.1,0.4,0.3,0.5,0.7,0.6,0.4,0.3,0.4,0.6,0.5,0.3,0.7,0.6,0.5,0.5,0.3
-40.99476623535156,288.75,0.7,1.0,0.7,0.8,0.7,1.1,0.5,0.8,0.6,0.7,0.7,0.5,0.6,0.6,0.5,0.8,0.5,0.7,0.7,0.4,0.8,0.6,0.5,0.3,0.6,0.7,0.5,0.8,0.7,0.4,0.5,0.5
-40.99476623535156,297.5,0.4,0.4,0.3,0.5,0.4,0.4,0.4,0.6,0.3,0.2,0.5,0.4,0.5,0.4,0.5,0.3,0.6,0.2,0.2,0.3,0.1,0.3,0.4,0.7,0.7,0.3,0.3,0.6,0.3,0.6,0.6,0.2
-40.0523567199707,175.0,0.7,0.6,0.9,0.8,0.6,0.6,1.0,0.8,0.6,0.7,1.0,0.8,1.2,1.0,0.7,0.6,1.2,1.1,0.6,1.1,0.8,0.6,0.8,0.9,0.8,0.8,0.3,0.7,0.8,0.6,0.9,0.9
-40.0523567199707,176.25,0.8,0.6,0.6,0.8,1.0,0.6,0.9,0.6,0.8,0.8,0.7,0.9,0.7,0.7,0.5,0.8,0.8,0.7,0.7,0.7,0.7,0.4,0.6,0.5,0.7,1.1,0.6,0.5,0.8,0.8,0.9,0.4
-40.0523567199707,177.5,0.7,0.7,0.7,0.5,1.1,0.9,0.7,1.0,0.6,0.7,0.6,1.0,0.6,0.6,0.5,0.8,0.7,0.8,0.6,0.6,0.6,0.4,0.5,0.7,0.8,0.8,0.6,0.7,0.6,0.8,0.4,0.6
-40.0523567199707,286.25,0.6,0.4,0.5,0.3,0.5,0.7,0.8,0.6,0.7,0.3,0.5,0.4,0.5,0.5,0.3,0.5,0.6,0.5,0.7,0.2,0.5,0.3,0.5,0.7,0.7,0.7,0.2,0.6,0.7,0.2,0.4,0.3
-40.0523567199707,287.5,0.7,0.6,0.4,0.3,0.7,0.5,0.5,0.6,0.4,0.6,0.8,0.6,0.5,0.6,0.6,0.5,0.6,0.2,0.5,0.6,0.5,0.4,0.3,0.4,0.5,0.5,0.4,0.6,0.4,0.6,0.4,0.4
-39.109947204589844,173.75,1.2,0.7,1.0,0.9,1.1,0.4,0.5,0.7,0.8,0.8,1.3,1.0,0.8,0.8,0.8,1.0,1.3,0.8,0.7,0.8,1.0,0.6,0.8,1.0,0.9,1.0,0.8,0.9,1.0,0.8,1.2,0.7
-39.109947204589844,176.25,0.7,0.5,0.6,0.5,1.1,0.7,0.4,0.9,0.5,1.0,0.6,0.2,0.8,0.5,0.6,0.6,0.5,0.8,0.7,0.6,0.4,0.3,0.8,0.9,0.7,0.5,0.5,0.7,0.4,0.5,0.3,0.5
-39.109947204589844,177.5,0.5,0.5,0.8,0.7,0.7,0.5,0.7,1.1,0.3,0.6,0.9,0.6,0.8,0.6,0.5,0.5,0.7,0.7,0.9,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.9,0.7,0.8,0.5
-39.109947204589844,178.75,0.6,0.8,0.7,0.8,0.7,1.0,0.7,1.0,0.2,0.8,1.0,0.7,0.9,0.7,0.7,0.9,0.8,1.0,0.7,0.7,0.7,0.6,0.8,0.7,0.8,0.8,0.8,0.5,0.7,0.8,0.7,0.9
-39.109947204589844,286.25,0.5,0.5,0.5,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.7,0.3,0.3,0.2,0.6,0.6,0.4,0.1,0.6,0.3,0.4,0.5,0.5,0.7,0.3,0.6,0.7,0.3,0.4,0.3
-39.109947204589844,287.5,0.7,1.0,0.3,0.4,0.8,0.7,0.5,0.4,0.3,0.7,0.8,0.7,0.4,0.4,0.4,0.6,0.5,0.3,0.4,0.5,0.7,0.4,0.4,0.7,0.6,0.7,0.2,0.7,0.5,0.5,0.5,0.5
-39.109947204589844,291.25,0.7,0.5,0.7,0.6,0.9,0.4,0.8,0.9,0.7,0.4,0.6,0.5,0.5,0.8,1.0,0.9,0.6,0.7,0.6,0.6,0.6,0.7,0.6,0.8,1.0,0.8,0.7,0.6,0.4,0.6,0.7,0.7
-39.109947204589844,292.5,0.5,0.9,1.0,0.6,0.5,0.2,1.0,0.7,0.4,0.5,0.7,0.8,0.7,0.6,0.8,0.6,0.7,0.7,0.3,1.1,0.5,0.8,0.6,0.9,0.9,0.8,0.6,0.5,0.6,0.6,0.7,0.5
-39.109947204589844,297.5,0.9,0.4,0.4,0.6,0.4,0.7,0.4,0.6,0.6,0.3,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.6,0.6,0.7,0.3,0.3,0.8,0.9,0.6,1.0,0.4,0.6,0.6,0.7,0.9,0.7
-39.109947204589844,301.25,0.9,0.2,0.3,0.6,0.6,0.5,0.8,0.6,0.4,0.4,0.5,0.5,0.4,0.8,0.7,0.6,0.7,0.5,0.1,0.6,0.3,0.4,0.8,0.9,0.4,0.6,0.8,0.5,0.6,0.5,0.6,0.5
-38.16753768920898,142.5,0.5,0.6,0.4,0.3,0.5,0.3,0.6,0.5,0.3,0.2,0.3,0.3,0.3,0.1,0.1,0.5,0.5,0.5,0.2,0.3,0.4,0.1,0.5,0.8,0.4,0.3,0.3,0.1,0.2,0.3,0.2,0.2
-38.16753768920898,143.75,0.4,0.7,0.3,0.4,0.6,0.2,0.7,0.6,0.3,0.3,0.3,0.4,0.3,0.2,0.3,0.4,0.6,0.5,0.1,0.3,0.5,0.2,0.5,0.5,0.4,0.3,0.3,0.1,0.5,0.5,0.3,0.2
-38.16753768920898,145.0,0.4,0.7,0.5,0.4,0.8,0.4,0.5,0.7,0.4,0.3,0.4,0.3,0.5,0.5,0.3,0.5,0.6,0.5,0.1,0.2,0.6,0.4,0.4,0.3,0.4,0.6,0.2,0.3,0.3,0.5,0.4,0.5
-38.16753768920898,175.0,0.9,0.9,0.7,0.4,0.7,0.5,0.8,0.6,0.8,0.7,0.8,0.4,0.8,0.8,0.5,0.6,0.5,0.7,0.6,0.9,0.5,0.5,0.6,1.0,1.0,1.0,0.6,0.7,0.6,1.1,1.1,0.8
-38.16753768920898,176.25,0.8,1.0,0.9,0.5,0.4,0.9,0.8,0.5,0.5,0.7,0.9,0.6,0.4,0.4,0.4,0.9,0.5,0.5,0.9,0.5,0.4,0.4,0.7,0.5,0.4,0.6,0.5,0.7,0.5,0.6,0.5,0.7
-38.16753768920898,177.5,0.8,0.5,0.7,0.5,0.5,0.9,0.9,0.6,0.3,0.5,0.6,0.6,0.6,0.3,0.4,0.6,0.7,0.4,1.0,0.6,0.7,0.6,0.6,0.5,0.5,0.8,0.4,0.8,0.7,0.4,0.3,0.5
-38.16753768920898,178.75,0.7,0.8,0.6,0.8,0.9,0.7,0.8,0.9,0.4,0.9,0.8,0.4,0.7,0.8,0.8,0.7,0.5,0.7,0.9,0.6,0.8,0.7,0.9,0.7,0.7,0.7,0.9,0.6,0.8,0.6,1.2,0.7
-38.16753768920898,286.25,0.3,0.5,0.5,0.4,0.4,0.6,0.4,0.7,0.5,0.8,0.5,0.6,0.7,0.4,0.3,0.3,0.3,0.2,0.6,0.2,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.2,0.2,0.3
-38.16753768920898,287.5,0.7,0.6,0.3,0.4,0.7,0.9,0.8,0.6,0.4,0.7,0.6,0.9,0.6,0.3,0.3,0.6,0.5,0.5,0.4,0.7,0.6,0.4,0.3,0.7,0.7,0.7,0.6,0.5,0.4,0.5,0.6,0.3
-38.16753768920898,291.25,0.8,0.4,0.9,0.9,0.5,0.7,0.7,0.7,0.3,0.2,0.8,0.5,0.8,0.8,1.2,0.7,0.5,0.6,0.4,0.6,0.6,0.5,0.6,0.8,1.1,0.8,0.7,0.5,0.6,0.6,0.6,0.5
-38.16753768920898,292.5,0.7,0.9,0.9,0.7,0.6,0.5,0.3,0.5,0.7,0.5,0.7,0.6,0.7,0.6,1.0,0.6,0.5,0.7,0.7,1.0,0.5,0.6,0.3,0.8,0.8,0.7,0.5,0.7,0.5,0.5,0.8,0.6
-38.16753768920898,297.5,0.6,0.5,0.5,0.6,0.4,0.4,0.6,0.7,1.0,0.6,0.6,0.6,0.6,0.6,0.9,0.6,0.6,0.8,0.8,0.7,0.4,0.5,0.7,1.0,0.5,0.7,0.4,0.9,1.0,0.8,1.0,1.1
-38.16753768920898,300.0,1.0,1.0,0.8,0.5,0.7,0.7,0.5,0.8,1.1,0.5,0.8,0.8,0.6,0.4,0.7,0.9,0.8,0.8,0.8,0.7,0.7,0.8,0.9,0.9,0.6,0.9,0.7,0.8,0.7,0.7,0.9,0.6
-38.16753768920898,301.25,0.8,0.4,0.8,0.7,0.9,0.6,0.9,0.6,0.5,0.7,1.0,0.6,0.5,0.6,0.7,0.7,0.9,1.0,0.7,1.0,0.9,0.6,0.9,0.8,0.6,1.0,0.8,0.8,0.6,0.8,0.5,0.6
-38.16753768920898,302.5,0.8,0.3,0.3,0.7,0.6,0.3,0.2,0.6,0.6,0.2,0.3,0.3,0.3,0.6,0.7,0.3,0.8,0.4,0.5,0.7,0.5,0.3,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.6,0.4
-37.22513198852539,143.75,0.6,0.9,0.4,0.6,1.0,0.6,0.6,0.9,0.4,0.5,0.4,0.5,0.5,0.5,0.3,0.5,0.9,0.6,0.4,0.6,0.7,0.3,0.7,0.5,0.6,0.4,0.3,0.6,0.7,0.4,0.7,0.5
-37.22513198852539,145.0,0.4,0.7,0.5,0.4,1.2,0.7,0.2,0.7,0.5,0.5,0.5,0.5,0.4,0.7,0.3,0.7,0.9,0.9,0.4,0.6,0.9,0.5,0.6,0.9,0.6,0.5,0.4,0.6,0.5,0.5,0.7,0.6
-37.22513198852539,175.0,0.9,0.9,0.7,0.7,0.5,0.5,0.9,0.9,0.8,0.5,0.6,0.6,1.0,0.8,0.8,1.1,0.5,0.8,0.8,1.0,0.6,0.4,0.6,0.8,0.9,1.1,0.8,0.8,0.8,0.7,0.9,0.7
-37.22513198852539,176.25,0.7,0.4,0.8,0.7,0.7,0.6,0.7,0.8,0.4,0.6,0.5,0.9,0.9,0.4,0.7,0.5,0.7,0.4,0.8,0.4,1.0,0.6,0.9,0.7,0.5,0.5,0.8,0.3,0.6,0.8,0.3,0.6
-37.22513198852539,286.25,0.4,0.6,0.5,0.6,0.3,0.7,0.5,0.6,0.5,0.4,0.6,0.5,0.6,0.5,0.2,0.3,0.3,0.4,0.5,0.3,0.3,0.2,0.5,0.6,0.7,0.2,0.7,0.4,0.4,0.4,0.2,0.2
-37.22513198852539,287.5,0.3,0.7,0.7,0.5,0.6,0.7,0.8,0.8,0.3,0.9,0.5,0.4,0.4,0.6,0.3,0.3,0.5,0.4,0.5,0.6,0.5,0.5,0.4,0.5,0.5,0.6,0.7,0.5,0.6,0.7,0.6,0.4
-37.22513198852539,296.25,0.6,0.8,0.6,0.8,0.6,0.7,0.7,0.7,0.8,0.6,0.5,0.6,0.7,0.7,0.9,0.6,1.0,1.0,0.8,0.6,0.6,0.7,0.6,0.8,0.7,1.1,0.6,0.7,1.0,0.9,1.1,0.7
-37.22513198852539,297.5,0.7,0.6,0.7,0.7,0.7,0.8,0.7,0.7,1.0,0.6,0.9,0.5,0.6,0.7,0.6,0.7,1.1,0.9,0.8,0.8,0.8,0.7,0.8,0.6,0.8,1.0,0.6,0.6,0.8,1.0,1.1,0.8
-37.22513198852539,298.75,0.7,0.9,0.6,0.8,0.7,0.8,0.6,0.9,1.3,1.0,1.1,0.7,0.5,0.7,0.8,0.9,1.1,0.7,0.9,1.0,0.8,0.7,0.7,0.9,0.8,0.8,0.7,0.7,0.7,1.0,1.0,0.9
-37.22513198852539,300.0,1.0,0.9,0.3,1.1,0.8,0.6,1.0,0.5,1.0,1.0,1.1,0.8,0.6,0.8,1.0,0.5,0.9,0.8,1.0,0.8,1.0,0.6,0.8,1.0,0.7,0.9,0.6,0.7,0.8,0.8,1.0,0.4
-37.22513198852539,301.25,0.7,0.8,0.4,1.0,0.8,0.5,0.7,1.0,0.8,0.8,0.9,0.8,0.6,0.5,0.8,0.6,0.8,1.0,1.0,0.8,1.2,0.5,0.6,1.0,0.6,1.0,0.9,0.8,0.7,0.7,0.6,0.7
-37.22513198852539,302.5,0.5,0.4,0.6,0.9,0.6,0.4,0.6,0.8,0.6,0.6,0.7,0.6,0.3,0.4,0.8,0.5,0.7,0.8,0.7,0.9,0.9,0.3,0.5,0.6,0.6,0.7,0.6,0.6,0.5,0.7,0.9,0.4
