lat,lon,ACCESS1-0,ACCESS1-3,CanESM2,CNRM-CM5,CSIRO-Mk3-6-0,FGOALS-s2,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,HadGEM2-CC,HadGEM2-ES,IPSL-CM5A-MR,MIROC5,MIROC-ESM,MIROC-ESM-CHEM,MRI-CGCM3,MRI-ESM1
-54.1884994506836,292.5,1.3,1.9,4.3,3.5,5.0,2.2,2.3,1.9,1.0,3.4,1.9,3.4,0.7,2.9,2.7,1.8,3.2
-53.24610137939453,288.75,2.5,4.9,2.1,3.7,5.6,4.2,1.9,2.3,0.4,1.8,1.3,2.1,0.7,1.6,1.4,2.0,2.1
-53.24610137939453,290.0,1.6,2.3,2.1,3.3,4.0,3.6,1.8,2.5,0.7,2.9,1.1,2.5,0.6,1.2,1.7,1.8,2.7
-53.24610137939453,291.25,3.9,7.6,3.9,4.5,5.7,4.8,2.4,2.8,1.4,3.2,1.7,3.7,1.0,2.0,2.5,2.2,2.7
-52.3036994934082,291.25,1.4,1.6,2.9,2.7,3.1,1.7,1.6,1.3,0.9,1.5,1.2,2.8,0.4,1.5,1.8,2.0,2.1
-51.36130142211914,291.25,1.0,1.0,3.0,2.7,3.6,2.0,1.2,1.1,0.8,1.6,1.7,3.5,0.5,1.7,2.1,1.2,2.0
-46.64920043945313,168.75,3.4,1.0,3.1,2.5,1.6,7.1,2.0,0.7,2.4,3.1,2.2,9.3,2.3,2.0,2.7,1.8,2.8
-45.7067985534668,170.0,4.4,1.6,4.4,3.3,2.1,6.2,2.6,1.1,2.2,4.4,3.5,8.6,2.6,1.9,3.1,2.0,3.8
-45.7067985534668,171.25,5.5,0.7,1.6,1.6,1.2,5.2,2.1,0.7,1.4,2.8,2.7,9.1,1.3,1.6,2.5,1.3,2.7
-45.7067985534668,287.5,3.1,2.6,2.5,1.9,2.9,4.9,1.9,2.0,1.7,0.8,0.9,3.5,1.0,1.9,1.6,1.3,2.1
-45.7067985534668,292.5,1.4,1.4,2.6,2.1,1.3,3.0,1.4,1.6,1.4,1.0,1.0,4.2,2.2,1.8,2.5,1.4,2.2
-43.821998596191406,172.5,4.7,1.3,2.9,3.5,2.3,7.7,2.7,1.1,2.7,3.7,3.1,8.9,3.2,2.3,3.8,2.0,4.0
-43.821998596191406,295.0,1.5,1.9,2.4,1.5,2.4,3.6,2.0,2.3,1.0,1.4,1.6,4.0,2.0,2.9,2.0,1.4,1.0
-42.87960052490234,147.5,2.6,2.0,2.7,1.9,0.3,5.9,0.7,1.7,1.0,3.0,4.4,4.7,0.1,2.6,4.3,1.3,1.6
-42.87960052490234,172.5,6.6,4.6,4.3,4.0,2.6,5.9,4.0,4.1,5.8,7.1,8.6,8.6,6.8,1.6,3.8,4.2,4.8
-42.87960052490234,288.75,2.1,2.7,4.7,2.2,4.8,3.6,2.3,2.2,2.6,0.7,1.1,4.0,1.9,3.1,3.3,1.9,3.2
-42.87960052490234,295.0,1.0,1.3,3.1,1.6,2.1,2.7,1.8,2.1,0.9,1.1,1.8,4.2,2.5,3.0,2.1,1.5,0.9
-41.937198638916016,175.0,4.7,3.8,3.1,3.1,2.9,8.3,2.6,0.7,2.4,5.3,4.3,7.8,4.0,3.6,4.5,2.3,4.1
-41.937198638916016,286.25,7.0,11.5,3.2,2.7,2.7,5.5,2.3,1.8,1.9,1.4,1.9,4.2,1.8,2.6,3.1,2.8,2.1
-40.99480056762695,146.25,1.6,2.9,1.6,1.9,1.3,6.1,0.6,2.8,2.0,2.0,2.2,2.8,1.9,1.9,2.5,1.9,1.8
-40.99480056762695,147.5,1.3,1.3,1.8,2.4,0.8,4.8,0.7,1.5,0.8,2.6,3.9,4.2,1.7,3.3,4.5,1.7,1.9
-40.99480056762695,173.75,5.6,3.3,4.0,3.2,3.5,6.4,2.4,1.3,2.9,6.1,4.4,6.6,3.6,2.5,4.2,2.1,4.4
-40.99480056762695,175.0,4.3,4.9,4.1,3.9,3.6,6.9,3.2,2.1,2.5,6.8,6.6,7.2,4.1,2.6,4.3,2.5,4.2
