lat,lon,ACCESS1-0,ACCESS1-3,CanESM2,CNRM-CM5,CSIRO-Mk3-6-0,FGOALS-s2,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,HadGEM2-CC,HadGEM2-ES,IPSL-CM5A-MR,MIROC5,MIROC-ESM,MIROC-ESM-CHEM,MRI-CGCM3,MRI-ESM1
-54.1884994506836,292.5,4.8,7.1,18.3,17.0,25.1,8.7,10.3,8.5,3.1,17.2,7.1,16.0,2.3,12.2,12.7,10.6,16.7
-53.24610137939453,288.75,10.1,20.9,10.0,14.7,28.1,18.7,9.8,10.0,1.5,8.1,4.7,9.4,2.8,5.8,8.0,10.7,9.6
-53.24610137939453,290.0,6.1,8.8,8.9,13.0,19.3,16.7,8.1,10.0,2.5,12.9,4.4,11.4,2.3,4.2,7.4,10.3,12.9
-53.24610137939453,291.25,16.8,35.3,18.1,23.0,28.5,23.1,10.6,11.6,4.8,15.3,7.0,17.7,3.5,8.3,12.6,11.8,12.6
-52.3036994934082,291.25,5.0,5.2,11.2,12.6,13.3,6.0,6.4,4.8,3.1,5.4,4.1,13.1,1.4,5.7,8.6,8.7,9.8
-51.36130142211914,291.25,4.2,3.3,11.0,12.0,14.5,8.0,5.2,3.7,3.2,6.1,6.3,14.6,1.5,7.3,9.8,5.0,7.8
-46.64920043945313,168.75,21.1,4.4,13.4,9.1,6.8,38.4,7.4,2.6,9.8,13.3,9.0,51.4,11.6,8.5,12.3,8.6,13.4
-45.7067985534668,170.0,28.2,6.7,21.5,14.6,10.3,32.7,13.2,3.8,8.6,21.9,15.7,50.5,12.4,9.7,19.0,8.5,20.1
-45.7067985534668,171.25,25.3,2.5,5.7,5.6,4.3,23.3,7.9,2.5,5.4,13.2,11.9,50.4,5.1,7.2,10.6,5.6,13.6
-45.7067985534668,287.5,16.3,12.3,10.2,9.2,13.9,26.4,7.8,8.6,6.4,4.1,4.5,17.1,5.3,6.9,6.2,5.7,8.6
-45.7067985534668,292.5,4.5,5.1,9.0,10.9,4.5,11.4,5.2,6.6,5.1,3.5,3.3,17.8,9.7,7.6,9.1,5.4,8.1
-43.821998596191406,172.5,25.1,5.6,13.1,15.2,11.0,42.1,11.9,4.9,10.4,19.2,14.8,62.5,15.4,12.5,20.0,8.7,22.3
-43.821998596191406,295.0,5.5,6.6,9.0,8.7,7.9,15.2,7.2,8.8,3.2,5.1,5.5,15.2,8.1,11.1,7.7,5.2,3.3
-42.87960052490234,147.5,9.5,10.2,13.8,8.7,1.2,28.7,2.4,5.6,3.9,13.5,18.0,19.0,0.3,13.9,25.9,4.6,6.8
-42.87960052490234,172.5,52.8,27.4,24.7,24.1,15.6,90.6,20.4,23.9,29.6,59.0,60.2,63.0,32.2,8.7,23.2,20.4,28.5
-42.87960052490234,288.75,9.9,13.1,21.4,11.7,27.5,17.2,9.8,10.6,10.1,2.7,5.1,24.9,8.7,14.4,15.5,8.0,13.7
-42.87960052490234,295.0,4.0,4.4,11.5,7.4,7.1,10.2,7.1,8.3,3.0,4.3,6.4,15.6,9.5,12.1,8.1,5.7,3.1
-41.937198638916016,175.0,26.5,19.3,13.1,15.4,14.1,60.9,12.4,3.1,9.5,26.9,20.6,55.4,18.2,19.0,26.1,12.1,30.2
-41.937198638916016,286.25,35.9,87.3,12.0,18.0,12.0,31.5,10.5,7.6,7.9,6.4,8.3,22.3,7.5,11.1,12.2,11.0,7.9
-40.99480056762695,146.25,6.4,17.9,6.8,9.2,4.6,27.1,2.2,10.5,7.9,14.9,10.6,15.0,6.6,7.9,11.2,7.0,8.8
-40.99480056762695,147.5,5.0,5.6,7.9,11.6,2.6,20.2,2.7,5.0,2.9,17.5,18.7,22.3,5.6,16.1,30.4,6.0,8.1
-40.99480056762695,173.75,38.8,19.1,21.3,24.5,22.9,78.3,14.2,6.4,11.8,39.8,30.2,68.3,19.1,16.3,29.5,11.7,32.2
-40.99480056762695,175.0,25.7,29.0,22.4,22.8,22.2,62.7,16.5,9.1,10.1,42.5,42.1,56.3,19.2,15.9,27.8,12.6,26.3
-40.99480056762695,286.25,12.6,17.3,15.3,15.8,17.6,30.0,7.5,7.9,7.4,2.8,4.9,22.3,10.1,9.5,10.8,7.3,7.7
-40.99480056762695,287.5,14.7,17.5,17.9,17.3,14.8,22.7,12.7,13.3,10.4,5.7,11.0,29.7,12.6,11.9,10.7,7.9,9.0
-40.99480056762695,288.75,4.6,7.6,19.7,13.0,18.3,14.4,10.0,11.9,11.0,3.7,6.5,23.4,9.1,15.3,11.2,7.3,10.6
-40.99480056762695,297.5,15.7,29.0,3.1,7.2,16.2,38.6,5.9,5.0,2.3,4.1,5.9,9.0,4.2,11.1,7.8,5.0,2.8
-40.05239868164063,175.0,37.2,24.3,26.5,24.8,31.2,80.0,23.7,20.3,22.2,45.1,45.2,63.8,23.7,14.6,22.9,13.7,32.1
-40.05239868164063,176.25,52.8,45.0,43.1,24.9,27.1,96.5,33.2,26.3,28.3,51.0,58.4,67.5,28.3,23.4,35.9,20.3,35.2
-40.05239868164063,177.5,33.4,23.6,28.0,19.5,21.2,59.0,17.8,9.4,14.6,28.7,26.0,64.0,25.4,23.6,31.9,14.7,36.0
-40.05239868164063,286.25,7.8,14.6,5.5,10.9,10.5,22.3,6.6,6.3,5.8,2.5,3.1,12.9,4.7,7.7,9.6,4.3,7.3
-40.05239868164063,287.5,8.6,11.8,13.3,10.3,16.6,27.6,7.2,5.9,6.1,2.5,3.9,16.7,4.2,9.9,8.8,3.8,5.0
-39.109901428222656,173.75,36.1,13.0,40.0,26.0,31.3,80.4,16.5,10.1,14.6,39.1,30.9,89.7,28.9,19.5,36.4,13.2,46.2
-39.109901428222656,176.25,47.1,43.8,52.0,35.5,52.0,95.9,57.9,64.8,71.7,65.8,76.0,77.7,40.0,33.6,33.7,25.3,39.0
-39.109901428222656,177.5,49.5,41.4,42.3,28.2,39.7,76.9,43.3,30.0,39.5,53.8,57.4,61.2,31.0,19.0,29.4,23.9,39.8
-39.109901428222656,178.75,36.8,28.6,40.1,33.5,30.7,55.5,30.2,17.5,21.4,32.2,35.4,64.9,38.7,32.0,38.8,28.0,45.8
-39.109901428222656,286.25,6.5,17.3,9.1,14.9,6.5,29.5,7.0,8.6,8.3,2.2,2.2,11.3,3.0,13.0,11.4,4.6,6.8
-39.109901428222656,287.5,12.5,12.2,10.1,12.4,6.9,29.1,8.3,6.5,5.4,2.0,3.3,16.8,3.4,15.4,10.9,3.6,3.3
-39.109901428222656,291.25,6.5,5.5,16.7,14.4,13.4,10.6,9.8,9.0,5.0,7.7,15.3,21.0,8.0,19.1,11.1,3.9,4.8
-39.109901428222656,292.5,11.8,9.9,18.1,12.8,8.6,15.2,9.8,9.7,6.3,6.5,13.9,18.6,9.8,17.7,13.9,5.9,7.6
-39.109901428222656,297.5,4.7,4.8,6.2,9.8,11.4,7.0,10.8,6.2,5.6,2.5,5.6,11.9,7.4,12.5,11.1,5.5,4.6
-39.109901428222656,301.25,7.4,4.0,6.9,6.8,9.5,5.9,5.5,4.5,3.2,3.2,5.6,9.9,4.3,8.9,7.6,1.6,2.0
-38.16749954223633,142.5,1.7,2.2,8.1,4.4,3.2,7.7,1.7,2.5,2.6,4.4,5.8,4.7,2.9,3.5,3.0,4.4,3.9
-38.16749954223633,143.75,3.5,2.3,9.8,6.1,5.1,12.0,1.8,2.2,4.4,6.0,8.6,6.5,6.9,2.9,4.8,4.4,3.5
-38.16749954223633,145.0,5.2,3.0,7.4,7.0,6.7,12.9,2.7,2.4,3.8,5.1,7.6,7.4,6.5,3.1,4.4,5.9,4.3
-38.16749954223633,175.0,65.9,41.7,50.8,41.3,37.0,96.1,36.6,40.5,49.2,58.8,60.5,88.5,36.5,24.6,31.1,26.4,48.8
-38.16749954223633,176.25,64.8,53.0,44.8,36.1,42.3,96.3,52.5,48.1,61.2,61.1,62.8,73.8,33.7,26.7,34.1,26.7,41.3
-38.16749954223633,177.5,46.3,34.4,29.7,30.4,49.7,89.8,42.2,29.8,37.7,58.0,60.3,62.0,22.1,16.0,22.5,23.6,40.4
-38.16749954223633,178.75,47.2,39.9,41.3,35.5,30.2,70.3,29.4,17.0,20.7,34.3,32.0,61.7,39.8,25.4,33.6,24.4,46.2
-38.16749954223633,286.25,2.4,8.9,4.8,13.4,7.4,14.6,11.8,11.9,11.9,2.8,2.6,12.4,2.7,13.6,11.2,5.1,6.5
-38.16749954223633,287.5,9.5,6.6,11.3,8.7,9.5,17.6,9.6,11.3,10.9,2.0,3.6,13.9,2.3,17.2,9.3,3.6,4.1
-38.16749954223633,291.25,31.0,21.2,17.3,15.5,14.3,32.0,10.7,7.9,7.6,10.7,20.6,24.2,9.9,21.0,14.6,5.4,6.0
-38.16749954223633,292.5,17.7,12.0,16.0,12.3,12.0,15.5,8.9,7.4,7.0,7.9,14.8,19.7,9.2,22.1,17.4,5.1,5.7
-38.16749954223633,297.5,9.1,4.4,11.8,12.1,14.4,10.1,13.5,13.4,12.2,4.3,8.4,15.3,11.1,13.8,16.4,8.8,11.2
-38.16749954223633,300.0,13.5,6.0,8.5,11.0,9.9,13.3,8.2,9.2,8.9,5.3,7.7,15.2,7.3,15.0,16.7,4.6,8.9
-38.16749954223633,301.25,13.7,6.9,6.1,9.4,9.0,14.1,8.5,8.4,8.0,4.9,5.9,12.0,5.2,10.8,14.9,6.7,6.2
-38.16749954223633,302.5,5.7,1.8,7.1,7.2,9.1,4.6,4.3,4.4,4.6,1.8,3.1,10.1,2.5,9.7,7.3,4.2,3.0
-37.22510147094727,143.75,15.3,14.1,5.3,10.5,7.0,20.8,2.4,3.2,5.9,8.3,10.3,7.4,5.5,3.6,2.8,6.5,4.6
-37.22510147094727,145.0,14.3,15.7,9.5,10.3,5.2,20.8,4.8,4.3,6.0,10.1,15.1,10.1,7.5,5.4,3.8,7.4,9.3
-37.22510147094727,175.0,64.4,45.0,51.3,42.1,32.8,95.9,33.6,21.5,27.2,58.2,51.0,85.1,35.0,22.7,34.1,30.6,49.7
-37.22510147094727,176.25,70.8,46.0,51.8,34.5,37.8,98.9,30.5,22.2,31.5,50.8,43.7,82.9,46.7,18.1,34.8,25.8,47.8
-37.22510147094727,286.25,4.0,7.8,3.6,14.1,3.5,19.5,7.0,12.2,9.7,10.1,3.0,11.5,2.5,15.4,13.2,5.6,5.8
-37.22510147094727,287.5,13.9,17.4,3.4,10.0,3.8,26.0,7.8,8.0,5.0,4.2,4.6,16.3,3.9,21.4,15.2,3.5,5.6
-37.22510147094727,296.25,28.4,15.7,8.7,10.2,7.1,16.8,12.0,9.5,12.2,4.9,9.5,16.1,11.6,13.4,14.9,7.0,10.6
-37.22510147094727,297.5,13.4,5.0,13.6,12.1,19.1,10.1,13.3,11.4,15.8,6.4,8.7,17.7,13.3,15.8,14.9,7.2,11.6
-37.22510147094727,298.75,11.7,3.8,8.2,16.1,23.1,9.1,17.1,21.7,26.1,7.6,11.4,21.5,20.6,21.3,18.7,11.7,10.3
-37.22510147094727,300.0,16.9,10.4,8.9,15.9,16.6,13.6,17.3,20.7,27.0,9.3,15.7,23.6,19.8,23.6,23.5,17.3,13.3
-37.22510147094727,301.25,22.6,16.4,7.0,11.9,10.0,23.6,10.5,12.9,13.9,6.9,9.8,14.5,8.5,13.1,15.7,19.1,16.1
-37.22510147094727,302.5,12.6,6.9,7.4,8.2,7.3,17.1,7.3,6.6,6.6,4.1,5.0,11.9,4.0,12.8,11.0,4.5,9.1
-36.28269958496094,145.0,19.5,25.8,9.9,14.3,9.1,26.1,3.7,3.7,5.8,10.7,15.6,13.9,6.4,9.0,6.3,8.5,10.1
-36.28269958496094,146.25,34.9,45.6,21.5,21.0,30.7,54.4,22.1,11.2,16.2,25.0,35.3,16.6,11.1,15.3,6.7,19.8,25.8
