lat,lon,ACCESS1-0,ACCESS1-3,CanESM2,CNRM-CM5,CSIRO-Mk3-6-0,FGOALS-s2,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,HadGEM2-CC,HadGEM2-ES,IPSL-CM5A-MR,MIROC5,MIROC-ESM,MIROC-ESM-CHEM,MRI-CGCM3,MRI-ESM1
-54.18848037719727,292.5,10.7,12.6,15.7,19.5,24.7,10.6,9.8,12.3,4.2,26.7,16.2,17.7,2.7,13.8,14.7,10.0,13.6
-53.24607467651367,288.75,3.7,6.7,13.3,10.0,11.6,7.8,9.4,14.8,3.1,13.0,7.8,12.9,2.0,9.1,15.7,13.1,12.0
-53.24607467651367,290.0,4.7,5.3,15.8,11.5,10.8,8.7,10.0,14.7,3.8,8.1,5.6,14.4,2.1,8.1,12.9,11.6,11.6
-53.24607467651367,291.25,6.4,9.8,16.7,17.9,17.2,7.7,10.1,13.8,4.3,12.2,7.0,20.2,2.9,12.0,14.0,12.5,12.7
-52.30366516113281,291.25,8.8,10.3,16.5,17.4,15.1,10.0,9.7,11.2,5.9,9.5,7.4,24.3,3.1,10.1,20.2,12.0,16.2
-51.36125564575195,291.25,8.4,6.8,13.4,18.9,16.0,12.4,11.2,8.6,8.3,6.5,5.9,24.1,4.1,12.3,20.6,10.1,15.0
-46.64921569824219,168.75,25.1,4.5,12.0,12.8,15.4,43.3,10.4,3.2,12.3,14.4,11.9,55.5,11.9,9.2,15.0,5.7,12.9
-45.70680618286133,170.0,30.2,8.3,13.0,11.1,12.2,41.9,11.6,3.9,10.9,22.4,17.2,51.4,10.8,11.8,16.9,5.6,10.3
-45.70680618286133,171.25,39.4,10.0,10.2,9.4,14.2,40.6,12.3,2.3,9.8,22.3,16.7,61.2,10.1,14.9,20.1,6.0,13.9
-45.70680618286133,287.5,14.1,10.2,12.0,9.7,8.5,12.1,9.8,11.8,10.5,3.7,5.0,21.0,6.1,5.2,4.7,7.6,12.4
-45.70680618286133,292.5,7.0,8.8,10.3,7.7,5.9,12.0,8.8,10.1,8.1,4.0,3.9,19.3,9.5,7.8,10.6,4.6,6.7
-43.82199096679688,172.5,37.1,9.5,12.3,15.2,16.4,55.7,12.6,3.8,11.6,37.0,22.4,70.2,12.5,16.0,19.5,10.7,20.4
-43.82199096679688,295.0,6.9,10.8,10.3,10.0,6.4,9.5,12.1,15.7,5.5,8.4,10.2,19.9,12.0,17.4,16.8,4.5,5.0
-42.879581451416016,147.5,16.0,13.4,5.1,11.7,4.7,25.8,2.8,3.1,3.8,23.6,20.8,18.9,2.6,19.8,44.7,4.5,6.9
-42.879581451416016,172.5,33.7,7.6,13.3,18.7,17.0,67.5,13.9,5.2,13.9,34.5,23.9,67.6,15.0,15.7,21.3,13.8,22.4
-42.879581451416016,288.75,13.1,12.3,13.2,8.7,10.9,13.7,8.7,11.8,10.2,2.7,5.0,22.6,8.8,9.0,10.8,7.1,14.6
-42.879581451416016,295.0,7.9,10.8,8.8,8.4,7.5,8.7,12.2,15.5,5.8,8.8,8.5,18.2,10.2,15.6,13.4,4.8,3.2
