lat,lon,ACCESS1-0,ACCESS1-3,CanESM2,CNRM-CM5,CSIRO-Mk3-6-0,FGOALS-s2,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,HadGEM2-CC,HadGEM2-ES,IPSL-CM5A-MR,MIROC5,MIROC-ESM,MIROC-ESM-CHEM,MRI-CGCM3,MRI-ESM1
-54.1884994506836,292.5,3.6,9.7,19.1,14.1,17.5,4.2,8.8,7.8,1.3,19.0,9.9,15.2,1.3,9.6,10.8,9.3,12.5
-53.24610137939453,288.75,2.2,5.7,14.0,11.6,20.2,2.9,9.4,9.4,1.5,8.3,5.8,10.1,2.7,6.0,8.3,10.9,8.8
-53.24610137939453,290.0,4.2,5.1,12.7,12.6,13.5,3.6,7.5,7.8,2.1,10.4,4.6,10.0,1.7,6.3,9.8,13.3,13.4
-53.24610137939453,291.25,5.6,15.3,17.3,17.6,26.7,6.2,10.4,12.1,3.5,16.3,7.4,16.0,3.3,10.6,14.3,12.6,12.3
-52.3036994934082,291.25,2.5,2.8,7.3,9.3,17.1,6.3,5.5,3.6,1.9,4.3,2.0,11.5,0.9,5.9,8.4,6.4,7.8
-51.36130142211914,291.25,2.0,2.7,8.7,11.7,6.2,9.3,5.1,2.0,1.2,4.6,4.8,11.8,1.2,8.8,9.7,3.9,7.2
-46.64920043945313,168.75,20.9,3.8,15.9,10.0,6.6,35.2,7.9,1.8,8.4,12.5,9.2,53.7,11.1,9.6,11.7,5.7,13.4
-45.7067985534668,170.0,32.5,7.2,22.7,13.5,10.6,47.1,12.1,3.6,8.0,22.6,16.9,48.5,12.2,8.1,17.3,8.5,18.1
-45.7067985534668,171.25,21.6,3.3,5.8,3.3,6.2,22.2,6.4,2.7,5.8,14.1,12.2,49.3,6.5,8.0,13.2,6.0,11.7
-45.7067985534668,287.5,8.2,8.9,10.8,7.7,12.9,8.6,7.8,6.9,4.5,3.5,3.4,16.0,4.1,6.2,4.8,5.3,6.3
-45.7067985534668,292.5,6.9,7.9,8.1,10.9,6.1,13.6,5.1,4.9,3.3,3.1,3.8,16.0,8.7,7.1,8.3,5.6,8.0
-43.821998596191406,172.5,33.7,4.1,12.1,15.8,13.9,56.0,12.7,3.9,9.3,21.6,17.4,64.0,14.8,15.2,22.8,10.2,22.0
-43.821998596191406,295.0,3.7,5.2,10.2,8.3,4.3,9.7,4.8,7.7,2.0,3.0,4.6,15.2,6.5,10.8,8.4,3.0,3.1
-42.87960052490234,147.5,5.7,5.7,8.5,6.4,1.9,15.4,2.1,5.6,3.0,11.3,16.4,18.5,0.3,9.4,22.6,3.8,5.2
-42.87960052490234,172.5,47.7,29.8,19.6,20.5,17.0,61.0,16.1,18.5,22.3,49.6,47.6,59.0,26.2,8.0,18.2,14.8,21.6
-42.87960052490234,288.75,13.6,15.6,20.0,10.7,22.4,19.1,10.9,11.5,11.6,2.7,6.6,23.9,8.3,13.7,14.4,8.1,13.1
-42.87960052490234,295.0,4.7,6.9,8.5,7.1,5.9,10.8,4.3,5.5,1.9,2.1,2.9,9.3,8.2,11.3,7.4,4.5,2.4
-41.937198638916016,175.0,25.8,12.4,12.7,15.4,12.0,64.9,13.5,3.2,9.0,27.4,18.1,57.2,20.7,19.8,26.7,14.1,31.0
-41.937198638916016,286.25,9.1,19.8,9.1,18.1,5.5,21.4,9.2,8.1,7.2,5.8,7.5,23.7,7.6,13.0,13.7,16.7,14.8
-40.99480056762695,146.25,5.7,10.1,6.0,8.4,3.1,23.1,1.8,9.1,6.3,12.5,9.8,17.8,5.8,9.9,18.3,6.1,8.8
-40.99480056762695,147.5,10.3,6.5,5.8,11.1,2.2,31.0,2.6,2.4,2.1,18.4,17.2,22.6,4.0,18.7,31.6,6.9,7.3
