lat,lon,ACCESS1-0,ACCESS1-3,CanESM2,CNRM-CM5,CSIRO-Mk3-6-0,FGOALS-s2,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,HadGEM2-CC,HadGEM2-ES,IPSL-CM5A-MR,MIROC5,MIROC-ESM,MIROC-ESM-CHEM,MRI-CGCM3,MRI-ESM1
-54.1884994506836,292.5,0.6,0.4,0.4,0.5,0.8,0.7,0.9,0.6,0.5,0.6,0.4,0.6,1.0,0.5,0.6,0.8,0.6
-53.24610137939453,288.75,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.3,0.9
-53.24610137939453,290.0,0.6,0.6,0.7,0.8,0.7,0.9,0.5,0.7,0.4,0.6,0.4,0.5,0.6,0.5,0.4,0.5,0.9
-53.24610137939453,291.25,0.7,0.7,0.5,0.7,0.8,0.9,0.6,0.4,0.6,0.4,0.7,0.6,0.7,0.5,0.4,0.8,0.8
-52.3036994934082,291.25,0.6,0.5,0.7,1.0,1.0,1.1,1.1,0.5,0.7,0.5,0.3,0.6,0.7,0.8,0.3,0.5,0.6
-51.36130142211914,291.25,0.5,0.4,0.5,1.1,0.6,1.0,0.6,0.4,0.4,0.7,0.5,0.5,0.9,0.8,0.4,0.5,0.7
-46.64920043945313,168.75,0.7,0.8,0.6,0.6,0.7,0.5,0.5,0.3,0.8,0.8,0.6,0.6,0.7,0.6,0.5,0.7,0.5
-45.7067985534668,170.0,0.6,0.9,0.7,0.7,0.5,0.6,0.6,0.5,0.7,0.8,0.5,0.7,0.5,0.6,0.3,0.7,0.6
-45.7067985534668,171.25,0.8,0.7,0.3,0.8,0.3,0.8,0.7,0.5,0.8,0.5,0.5,0.8,0.3,0.6,0.7,0.6,0.7
-45.7067985534668,287.5,1.2,0.8,0.8,1.2,0.9,1.0,0.9,0.6,0.3,0.9,0.5,1.0,1.3,0.8,0.6,1.0,0.7
-45.7067985534668,292.5,0.2,0.2,0.5,0.7,0.7,1.0,0.9,0.4,0.7,0.4,0.4,0.6,0.6,0.6,0.6,0.4,0.4
-43.821998596191406,172.5,0.7,1.0,0.7,0.9,0.4,0.5,0.7,0.7,0.9,0.9,0.4,0.7,0.7,0.5,0.8,1.0,1.3
-43.821998596191406,295.0,0.5,0.4,0.5,0.5,0.5,0.8,0.4,0.2,0.4,0.5,0.6,0.3,0.6,0.5,0.7,0.2,0.5
-42.87960052490234,147.5,0.5,0.5,0.2,0.5,0.3,0.4,0.3,0.3,0.4,0.6,0.3,0.3,0.2,0.4,0.4,0.3,0.5
-42.87960052490234,172.5,0.4,0.5,0.6,0.6,0.9,0.4,0.5,0.8,0.3,0.8,0.6,0.9,0.5,1.0,0.8,1.0,1.1
-42.87960052490234,288.75,0.6,0.4,0.7,0.9,0.7,0.6,0.8,0.4,0.5,1.0,0.9,0.5,0.8,0.8,0.4,0.6,0.7
-42.87960052490234,295.0,0.8,0.3,0.4,0.5,0.5,0.8,0.1,0.4,0.3,0.4,0.5,0.5,0.5,1.1,0.6,0.1,0.4
-41.937198638916016,175.0,0.9,0.7,0.8,0.8,0.7,1.0,1.1,0.8,0.8,0.8,1.2,0.8,1.1,0.9,0.8,0.7,1.1
-41.937198638916016,286.25,0.7,0.9,0.9,1.1,1.1,0.5,1.0,0.7,0.7,1.1,0.8,1.2,0.7,1.1,0.8,0.8,0.5
-40.99480056762695,146.25,0.7,0.7,0.1,0.3,0.4,0.4,0.4,0.3,0.2,0.5,0.4,0.9,0.3,0.4,0.3,0.2,0.5
-40.99480056762695,147.5,0.8,0.6,0.1,0.4,0.2,0.5,0.4,0.2,0.2,0.5,0.5,1.0,0.4,0.6,0.3,0.2,0.3
-40.99480056762695,173.75,0.7,0.8,1.0,0.5,0.7,0.6,1.2,0.8,0.9,1.0,1.0,1.2,0.8,0.7,0.8,0.5,0.8
-40.99480056762695,175.0,0.8,0.7,0.7,0.7,0.8,0.5,1.0,0.8,1.0,0.9,1.0,0.8,0.7,1.0,0.5,0.7,1.0
-40.99480056762695,286.25,0.7,0.8,0.6,0.8,0.7,0.5,0.8,0.5,0.9,0.8,0.4,1.0,0.5,1.0,0.8,0.9,0.6
-40.99480056762695,287.5,0.7,0.7,0.6,1.1,0.8,0.8,0.7,0.8,0.6,1.1,1.0,0.7,0.9,1.2,0.7,0.7,0.8
-40.99480056762695,288.75,0.7,0.6,0.6,0.9,0.9,0.3,0.7,0.4,0.6,1.0,0.8,0.4,1.3,0.7,0.5,0.4,0.9
-40.99480056762695,297.5,0.4,0.5,0.4,0.5,0.7,0.8,0.5,0.5,0.6,0.6,0.4,0.5,0.5,0.8,0.7,0.1,0.4
-40.05239868164063,175.0,0.7,0.7,0.6,0.6,0.7,0.9,0.7,0.6,0.5,0.9,1.0,0.9,1.1,0.9,0.9,0.6,1.1
-40.05239868164063,176.25,0.7,0.8,0.5,0.7,1.0,0.9,0.7,0.7,1.0,1.0,0.7,0.7,1.0,1.0,0.6,0.7,0.9
-40.05239868164063,177.5,0.9,0.9,1.1,0.9,0.9,0.8,0.9,1.2,1.3,1.0,0.8,0.9,1.1,0.8,0.7,1.1,1.0
-40.05239868164063,286.25,0.9,0.7,0.3,0.9,0.5,0.5,0.8,0.9,0.7,0.7,0.8,0.4,0.7,1.0,1.1,0.6,0.6
-40.05239868164063,287.5,0.8,0.8,0.2,0.9,0.4,0.4,0.6,1.1,0.8,0.8,0.8,0.7,0.8,0.8,0.6,0.8,0.6
-39.109901428222656,173.75,0.8,0.7,1.1,0.8,1.1,1.1,1.1,1.1,0.9,1.1,1.1,1.1,0.9,0.8,0.9,1.0,1.0
-39.109901428222656,176.25,0.7,0.4,0.6,0.8,0.9,0.7,0.7,0.6,0.5,0.9,0.8,1.0,0.9,0.4,0.4,1.0,0.9
-39.109901428222656,177.5,0.8,0.9,1.1,0.8,0.8,0.9,0.8,0.4,0.5,0.8,0.6,1.0,1.0,0.8,0.6,1.2,0.8
-39.109901428222656,178.75,0.6,1.0,1.0,0.6,0.9,0.6,1.0,1.2,0.6,1.0,0.8,1.2,1.0,0.7,0.7,1.2,1.0
-39.109901428222656,286.25,0.8,1.1,0.7,1.1,0.8,0.6,0.7,0.9,0.7,0.8,0.7,0.8,0.6,1.0,0.8,0.8,0.7
-39.109901428222656,287.5,1.1,1.0,0.5,1.1,0.7,0.6,0.9,0.7,0.5,0.9,0.8,0.9,0.9,0.7,0.7,0.5,0.9
-39.109901428222656,291.25,0.8,0.6,0.6,0.7,1.0,0.7,0.5,1.0,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.5,0.5
-39.109901428222656,292.5,0.6,0.4,0.4,0.7,0.7,0.8,0.6,0.9,0.9,0.5,0.8,0.9,0.4,0.7,0.6,0.8,0.4
-39.109901428222656,297.5,0.6,0.2,0.4,0.4,0.3,0.6,0.5,0.6,0.8,0.4,0.5,0.4,0.5,0.6,0.6,0.8,0.5
-39.109901428222656,301.25,0.9,0.8,0.3,0.3,1.1,0.1,0.7,0.5,0.8,0.7,0.4,0.3,0.4,0.7,0.5,0.6,0.3
-38.16749954223633,142.5,0.2,0.3,0.3,0.3,0.1,,0.3,0.5,0.3,0.4,0.5,0.9,0.5,0.3,0.3,0.1,0.4
-38.16749954223633,143.75,0.4,0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.2,0.2,0.5,0.8,0.3,0.6,0.4,,0.5
-38.16749954223633,145.0,0.7,0.4,0.3,0.2,0.3,0.3,0.4,0.7,0.2,0.4,0.3,0.8,0.4,0.5,0.6,0.3,0.4
-38.16749954223633,175.0,1.0,1.1,0.8,0.7,0.7,1.0,0.8,0.9,1.1,0.7,0.8,1.1,0.9,1.0,0.9,1.1,1.0
-38.16749954223633,176.25,0.9,0.7,0.6,0.9,0.7,0.5,0.8,0.5,0.7,0.9,0.7,1.1,1.0,0.6,0.2,0.7,0.5
-38.16749954223633,177.5,0.8,0.6,0.9,0.8,1.0,0.8,0.8,0.4,1.0,0.8,0.7,0.9,0.9,0.6,0.3,1.1,0.9
-38.16749954223633,178.75,0.8,0.6,1.0,0.9,0.9,0.7,0.8,0.8,0.6,1.2,0.9,1.2,1.1,1.0,0.6,1.1,1.0
-38.16749954223633,286.25,0.6,1.3,0.3,1.0,0.7,0.4,0.7,0.5,0.6,0.7,0.9,0.9,0.4,1.0,0.7,0.7,0.6
-38.16749954223633,287.5,0.7,1.0,0.7,1.0,0.7,0.6,0.9,0.4,0.7,0.6,0.6,0.7,0.6,0.8,0.8,0.6,1.0
-38.16749954223633,291.25,0.9,0.6,0.5,0.8,0.9,0.6,0.9,0.9,0.7,0.7,0.8,0.9,0.8,0.6,0.7,0.5,0.6
-38.16749954223633,292.5,0.7,0.5,0.6,0.7,0.8,0.6,0.6,0.7,0.8,0.5,0.9,0.8,0.4,0.8,0.6,0.8,0.5
-38.16749954223633,297.5,0.4,0.5,0.4,0.6,0.3,0.6,0.3,0.2,0.6,0.6,0.5,0.5,0.2,0.7,0.5,0.8,0.6
-38.16749954223633,300.0,0.7,0.5,0.3,0.4,0.4,0.4,0.8,0.6,0.7,0.7,0.9,0.1,0.3,0.6,0.4,0.8,0.5
-38.16749954223633,301.25,0.6,0.5,0.3,0.5,0.7,0.5,0.7,0.4,0.8,0.4,0.7,0.3,0.2,0.7,0.6,0.5,0.8
-38.16749954223633,302.5,0.6,0.8,0.4,0.8,1.0,0.2,0.5,0.4,0.8,0.9,0.4,0.4,0.4,0.8,0.6,0.5,0.5
-37.22510147094727,143.75,0.4,0.3,0.2,0.4,0.3,0.2,0.3,0.7,0.2,0.4,0.4,0.8,0.4,0.5,0.4,0.2,0.2
-37.22510147094727,145.0,0.5,0.7,0.4,0.6,0.4,0.2,0.5,0.5,0.3,0.5,0.2,0.6,0.4,0.6,0.5,0.3,0.6
-37.22510147094727,175.0,1.1,0.9,0.9,0.8,0.9,1.0,0.6,0.7,1.0,0.7,0.8,0.9,0.9,1.1,0.8,1.0,0.8
-37.22510147094727,176.25,1.1,0.9,0.8,0.8,0.8,1.1,1.0,0.8,1.0,0.8,0.9,1.0,0.8,0.8,0.8,0.9,1.0
-37.22510147094727,286.25,0.5,1.1,0.7,0.9,0.8,0.7,0.5,0.6,0.7,0.6,0.8,1.0,0.3,0.8,0.7,1.1,0.8
-37.22510147094727,287.5,0.8,0.6,0.7,0.9,0.4,0.7,0.7,1.0,0.9,0.7,0.7,0.9,0.5,0.7,0.7,0.5,1.0
-37.22510147094727,296.25,1.0,0.4,0.6,0.6,0.6,0.9,0.4,0.5,0.6,0.7,0.5,0.7,0.3,0.7,0.5,0.8,0.7
-37.22510147094727,297.5,0.8,0.4,0.3,0.9,0.3,0.7,0.3,0.5,0.2,0.3,0.5,0.6,0.5,0.5,0.2,0.3,0.8
-37.22510147094727,298.75,0.6,0.4,0.3,0.4,0.1,0.7,0.7,0.3,0.4,0.4,0.5,0.3,0.2,0.5,0.4,0.6,0.7
-37.22510147094727,300.0,0.7,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.5,0.7,0.5,0.3,0.4,0.7,0.7,0.7,0.7
-37.22510147094727,301.25,0.6,0.4,0.3,0.2,0.4,0.3,0.6,0.7,0.6,0.5,0.5,0.5,0.2,0.3,0.7,0.7,0.6
-37.22510147094727,302.5,0.6,0.5,0.6,0.6,1.0,0.3,0.9,0.7,0.6,0.6,0.4,0.3,0.3,0.6,0.8,0.6,0.8
-36.28269958496094,145.0,0.4,0.6,0.7,0.6,0.1,0.2,0.8,0.7,0.4,0.6,0.4,0.7,0.2,0.7,0.4,0.5,0.6
-36.28269958496094,146.25,0.1,0.6,0.2,0.6,0.1,0.1,0.4,0.3,0.4,0.3,0.1,0.5,0.3,0.8,0.4,0.3,0.4
-36.28269958496094,175.0,0.9,0.8,0.7,0.7,0.8,0.8,0.9,0.7,0.8,0.7,0.9,1.0,0.8,0.8,0.8,0.7,1.2
-36.28269958496094,286.25,0.7,0.6,0.6,0.9,0.4,0.3,0.3,0.3,0.3,0.7,0.5,0.7,0.5,1.1,1.0,0.5,0.4
-36.28269958496094,287.5,0.6,0.5,0.8,0.9,0.7,0.9,0.7,0.7,0.3,0.7,0.7,0.6,0.6,0.8,0.8,0.8,1.1
-36.28269958496094,288.75,1.1,0.2,0.3,0.7,0.7,0.4,0.2,0.1,0.3,0.9,0.7,0.7,0.5,0.7,0.6,0.8,0.8
-36.28269958496094,296.25,1.0,0.6,0.8,0.9,0.8,1.1,0.6,0.6,0.7,0.8,0.9,0.7,0.7,0.6,0.3,0.9,0.9
-36.28269958496094,297.5,1.1,0.8,0.4,0.6,0.5,1.1,0.4,0.6,0.4,0.6,1.1,0.5,0.5,0.7,0.5,0.7,0.9
-36.28269958496094,298.75,0.7,0.6,0.3,0.7,0.3,1.1,0.4,0.4,0.4,0.8,0.7,0.5,0.1,0.5,0.6,0.3,0.8
-36.28269958496094,300.0,0.7,0.2,0.3,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.1,0.1,0.7,0.6,0.6,0.9
-36.28269958496094,302.5,0.6,0.7,0.7,0.5,0.5,0.5,0.6,0.8,0.5,0.7,0.4,0.5,0.3,0.5,0.8,0.6,1.0
-35.340301513671875,117.5,0.2,0.4,0.4,0.3,0.4,0.3,0.4,0.5,0.5,0.3,0.3,0.4,0.5,0.4,0.6,0.6,0.1
-35.340301513671875,137.5,0.4,0.4,0.3,0.3,0.9,0.4,0.1,0.5,0.3,0.3,0.6,1.0,0.3,0.5,0.6,0.3,0.1
-35.340301513671875,138.75,0.2,0.4,0.1,0.5,0.5,0.5,0.2,0.7,0.3,0.2,0.5,0.3,0.5,0.3,0.4,0.3,0.2
-35.340301513671875,148.75,0.3,0.1,0.3,0.8,0.3,0.2,0.2,0.4,0.2,0.4,0.4,0.2,,0.3,0.1,0.4,0.3
-35.340301513671875,150.0,0.1,0.2,0.2,0.5,,,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.2,,0.2
-35.340301513671875,151.25,0.3,0.2,0.1,0.6,0.1,,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.8,0.5,0.3,0.5
-35.340301513671875,173.75,1.0,1.1,0.6,0.8,0.9,0.9,1.1,0.8,0.7,1.1,0.8,1.0,0.7,1.2,0.6,0.8,1.1
-35.340301513671875,175.0,0.8,0.7,1.1,0.6,1.1,0.8,1.2,0.7,0.8,1.1,0.9,0.9,0.8,1.1,0.6,1.0,1.2
-35.340301513671875,287.5,0.8,0.3,0.5,0.8,0.8,0.7,0.6,0.8,0.8,0.6,0.4,0.6,0.4,0.7,0.6,0.5,1.0
-35.340301513671875,288.75,1.0,0.3,0.4,0.5,0.7,0.6,0.7,0.5,0.5,0.9,0.5,0.5,0.4,0.9,0.7,0.6,0.8
-35.340301513671875,296.25,1.1,0.8,0.7,0.9,0.8,1.1,1.0,0.4,0.7,0.9,0.8,1.0,0.6,0.6,0.6,0.8,0.9
-35.340301513671875,297.5,1.0,0.7,0.7,0.6,0.9,1.0,1.0,0.8,0.4,0.8,0.6,0.9,0.8,0.8,0.6,0.7,0.6
-35.340301513671875,298.75,0.7,0.7,0.4,0.6,0.4,0.8,0.7,0.4,0.4,0.7,0.5,0.6,0.4,0.5,0.4,0.9,0.8
-35.340301513671875,300.0,0.6,0.5,0.5,0.7,0.7,0.7,0.6,0.6,0.4,0.9,0.7,0.4,0.2,0.8,0.6,0.6,0.8
-35.340301513671875,301.25,0.6,0.4,0.4,0.6,0.4,0.6,0.6,0.4,0.2,0.8,0.6,0.4,0.2,0.5,0.6,0.6,0.7
-35.340301513671875,302.5,0.5,0.8,0.8,0.3,0.7,0.6,0.8,0.7,0.4,0.8,0.6,0.4,0.3,0.4,0.8,0.7,1.0
-34.397899627685554,18.75,0.6,0.8,0.6,0.5,0.8,0.4,0.4,0.5,0.5,1.2,0.5,0.9,0.4,0.4,0.3,0.1,0.5
-34.397899627685554,21.25,0.5,0.7,0.6,0.4,0.7,0.3,0.5,0.5,0.6,1.1,0.8,0.7,0.3,0.3,0.2,0.5,0.3
-34.397899627685554,22.5,0.5,0.5,0.6,0.5,0.6,0.1,0.2,0.8,0.6,1.0,0.6,0.5,0.3,0.1,0.3,0.3,0.3
-34.397899627685554,23.75,0.3,0.3,0.6,0.5,0.6,0.3,0.3,0.7,0.5,0.7,0.5,0.5,0.2,0.1,0.7,0.2,0.2
-34.397899627685554,25.0,0.3,0.2,0.6,0.5,0.8,0.3,0.6,0.5,0.5,0.8,0.6,0.5,0.3,0.2,0.5,0.2,0.2
-34.397899627685554,138.75,0.4,0.2,0.4,0.6,0.6,0.4,0.5,0.6,0.6,0.3,0.4,0.8,0.5,0.7,0.8,0.3,0.4
-34.397899627685554,150.0,0.2,0.2,0.4,0.5,0.4,0.1,0.4,0.6,0.5,0.5,0.4,0.2,0.3,0.6,0.4,0.1,0.1
-34.397899627685554,151.25,0.6,0.5,0.5,0.5,0.1,0.2,0.5,0.5,0.6,0.3,0.4,0.2,0.2,0.4,0.3,0.2,0.4
-34.397899627685554,287.5,0.8,0.7,0.2,0.8,0.4,0.4,0.5,0.2,0.5,0.6,0.6,0.7,0.2,0.8,0.7,0.5,1.0
-34.397899627685554,288.75,0.7,0.3,0.6,0.7,0.8,0.6,0.5,0.7,0.6,0.5,0.8,0.8,0.4,0.7,0.5,0.7,0.8
-34.397899627685554,291.25,0.6,0.3,0.8,0.7,1.0,0.5,0.3,0.1,0.2,0.5,0.8,1.3,0.4,0.3,0.3,1.0,0.8
-34.397899627685554,292.5,1.0,0.8,0.8,1.1,0.7,0.8,0.9,1.0,0.7,1.2,1.1,1.4,0.9,0.6,0.9,1.0,0.9
-34.397899627685554,297.5,0.9,0.9,0.9,0.8,0.9,1.2,0.6,0.7,0.5,0.7,0.9,0.8,0.4,0.7,0.8,0.7,1.1
-34.397899627685554,298.75,0.7,0.9,0.7,0.8,0.7,1.0,1.1,0.7,0.5,0.9,0.7,0.5,0.3,0.7,0.5,0.8,1.2
-34.397899627685554,300.0,0.7,0.5,0.6,0.8,0.7,0.7,0.5,0.5,0.5,0.8,0.8,0.5,0.3,0.6,0.9,0.7,0.9
-34.397899627685554,301.25,0.6,0.2,0.7,0.5,0.4,0.5,0.4,0.1,0.3,0.5,0.4,0.1,0.4,0.3,0.3,0.4,0.5
-34.397899627685554,302.5,0.5,0.5,0.7,0.4,0.4,0.5,0.5,0.4,0.3,0.7,0.3,0.3,,0.4,0.6,0.8,0.8
-34.397899627685554,303.75,0.7,0.9,0.8,0.6,0.7,0.3,0.6,0.5,0.6,0.8,0.5,0.4,0.2,0.4,0.3,0.9,0.8
-34.397899627685554,305.0,0.9,0.7,0.5,0.4,1.0,0.4,0.7,0.8,0.5,0.7,0.8,0.6,0.8,0.7,0.6,0.9,0.9
-34.397899627685554,306.25,0.5,0.7,0.7,1.0,1.0,0.4,0.7,0.6,0.5,0.8,0.9,0.7,0.4,0.7,0.5,0.7,0.6
