lat,lon,ACCESS1-0,ACCESS1-3,CanESM2,CNRM-CM5,CSIRO-Mk3-6-0,FGOALS-s2,GFDL-CM3,GFDL-ESM2G,GFDL-ESM2M,HadGEM2-CC,HadGEM2-ES,IPSL-CM5A-MR,MIROC5,MIROC-ESM,MIROC-ESM-CHEM,MRI-CGCM3,MRI-ESM1
-54.1884994506836,292.5,4.1,13.9,17.9,19.2,18.7,9.2,8.0,6.9,1.7,14.9,7.6,17.1,3.9,13.1,17.2,13.6,17.5
-53.24610137939453,288.75,4.4,8.0,15.2,14.0,9.1,15.1,7.6,7.6,2.8,20.0,8.1,18.7,2.0,18.4,27.3,13.8,14.3
-53.24610137939453,290.0,6.5,11.6,18.8,19.6,33.1,11.7,8.3,11.0,4.0,12.1,7.0,19.5,2.0,13.2,19.8,16.1,17.8
-53.24610137939453,291.25,12.5,10.6,16.0,15.1,16.7,16.4,8.8,6.8,5.3,13.5,9.7,16.5,5.4,14.1,20.2,15.5,20.6
-52.3036994934082,291.25,8.5,10.9,19.1,15.0,13.1,9.1,8.9,8.8,5.8,9.6,6.6,20.3,4.8,14.6,22.5,11.7,17.4
-51.36130142211914,291.25,8.1,7.0,13.8,11.0,21.0,12.9,6.6,3.9,4.9,7.1,6.9,24.0,2.8,16.6,28.0,7.9,12.4
-46.64920043945313,168.75,20.6,4.0,11.7,9.5,11.0,52.2,7.2,3.6,11.5,13.3,7.9,62.6,10.2,8.5,13.0,4.7,11.8
-45.7067985534668,170.0,28.4,8.0,15.4,13.1,16.7,33.9,11.1,4.5,11.2,20.7,19.9,48.8,14.6,10.7,11.2,7.0,15.8
-45.7067985534668,171.25,29.6,6.4,15.6,8.9,16.4,50.3,9.3,1.5,9.3,19.1,13.4,59.0,9.7,8.9,16.8,7.4,9.5
-45.7067985534668,287.5,10.8,9.9,13.1,14.7,13.2,17.5,8.8,9.2,6.2,5.7,5.6,23.9,10.6,11.8,12.5,7.6,11.1
-45.7067985534668,292.5,8.1,5.9,19.0,16.2,10.4,16.1,14.1,12.3,7.6,6.2,3.3,28.3,16.6,15.6,17.0,4.6,7.3
-43.821998596191406,172.5,28.6,10.5,15.4,13.6,18.9,54.7,12.2,5.9,13.4,24.2,22.7,64.5,13.2,9.9,12.9,8.9,14.7
-43.821998596191406,295.0,14.2,6.8,11.6,14.5,15.2,9.0,11.6,9.5,3.1,11.1,10.4,20.8,16.8,29.1,25.6,3.6,2.7
-42.87960052490234,147.5,13.7,11.2,16.2,11.6,8.4,30.2,5.1,5.2,4.9,21.1,15.3,19.7,5.7,13.6,49.7,7.7,6.8
-42.87960052490234,172.5,43.5,24.9,24.1,18.3,20.3,64.2,15.9,16.6,19.0,37.0,42.1,70.5,27.6,14.7,24.6,13.7,25.0
-42.87960052490234,288.75,8.5,9.4,13.7,11.5,11.4,20.6,9.5,10.9,8.2,4.2,5.5,23.6,5.5,11.5,10.6,6.0,12.0
-42.87960052490234,295.0,12.8,5.7,10.6,11.9,13.8,13.0,11.7,9.9,4.9,12.5,7.6,24.1,12.3,29.9,24.3,7.7,4.8
-41.937198638916016,175.0,39.3,23.1,24.0,22.9,36.3,82.6,17.6,7.9,13.6,33.4,23.1,68.1,23.5,17.4,23.4,17.8,43.5
